,axial_max,tang_max,index_of_axm,index_of_tnm,axial_in_mxt,tang_in_mxa,cone_angl,label
0,-16.5496747899341,-17.6543776995096,28,48,-10.975492672142,-16.5978269402993,4,1
1,-16.5647256197065,-17.8158826084825,28,52,-14.4101715819659,-16.7242554123872,4,1
2,-16.3355680496504,-17.5788157571496,28,50,-12.6641162759062,-16.4159947704523,4,1
3,-15.9688648939293,-17.1080874863897,28,47,-10.2365127154436,-15.878570811461,4,1
4,-15.2272702025684,-16.2662404383534,28,49,-12.0560625234605,-15.2462750970633,4,1
5,-14.6820509862266,-15.3771402350203,27,51,-13.2525668785614,-14.6185546684971,4,1
6,-14.0862153636689,-14.5155538207814,27,50,-12.3919119935693,-13.7327761481716,4,1
7,-13.9626191633394,-13.729979648923,28,45,-9.94127339319681,-13.0213748454953,4,1
8,-13.6201827334007,-13.1838377903596,27,44,-9.63704547991442,-12.3295671543767,4,1
9,-12.8839691703484,-11.235114654307,24,41,-8.14147104406099,-9.64000112030722,4,1
10,-13.0989690003533,-11.0847839243183,26,42,-9.05623466054724,-8.82516234937334,4,1
11,-12.7511456635703,-10.8140681060196,25,42,-9.36175253104535,-8.6781817234113,4,1
12,-12.733407852602,-10.2848437966491,26,41,-8.76138232163374,-8.23769863973982,4,1
13,-12.5691040888473,-9.65777572786806,25,41,-8.9096032742163,-7.8457323607284,4,1
14,-12.345295401308,-9.20194879990218,26,41,-8.90194262886367,-7.31392056163757,4,1
15,-12.0369360306761,-8.70312241163788,25,41,-9.10618702797201,-7.03314068438066,4,1
16,-12.0930250179823,-8.25291124309755,26,43,-9.92996408030685,-6.61132881279868,4,1
17,-11.8492613503484,-7.54934371281793,23,39,-8.26660703410022,-6.53462175406189,4,0
18,-11.658712744892,-7.27956215115909,23,41,-9.57054531419836,-6.23081046721327,4,0
19,-11.7770856945543,-7.10190297415627,21,39,-9.10693277892282,-5.98491058628182,4,0
20,-11.7106439120829,-7.0580375965201,20,38,-8.82401146753335,-5.71228454645128,4,0
21,-11.6387484237187,-6.96466057288403,19,38,-9.64760455539305,-5.29953823206618,4,0
22,-11.5858608709181,-6.72242895936298,17,38,-9.79428560633711,-5.19340902224289,4,0
23,-11.5609563762347,-6.47062997641593,16,38,-10.3919263030921,-5.22450497854651,4,0
24,-11.6007698585892,-6.37157272529124,18,38,-10.609378936937,-4.62277640108125,4,0
25,-12.2008941328756,-7.12182399695423,9,33,-11.2610927665454,-6.16306358618997,4,0
26,-12.5205588514488,-7.13787585468142,8,32,-12.362288428505,-6.17426993554848,4,0
27,-12.8186022368417,-6.04056710941756,2,33,-12.7990045208953,-3.11119021244665,4,0
28,-13.2154520979147,-5.03308988167068,1,34,-12.9547120285401,-8.8577557198024,4,0
29,-13.3007611803871,-3.85240324757018,1,35,-13.0111209908902,-6.74955798176156,4,0
30,-13.258166326185,-2.98596580549109,1,37,-12.896372353576,-7.27352361999117,4,0
31,-13.0679923460149,-2.41809054490339,1,38,-12.8408283925616,-6.38493921012476,4,0
32,-12.9617423711652,-1.78090811014692,1,40,-12.8074211259995,-6.99500004877832,4,0
33,-12.9208245645518,-0.913827175513055,7,40,-12.8454786070461,-0.527450994129203,4,0
34,-14.5856826810104,-16.3216602860331,26,50,-12.6610485951146,-15.788958252833,5,1
35,-14.5579872460271,-16.4351689241129,26,50,-12.80604327,-15.5955722284917,5,1
36,-14.4946524888485,-16.1608343681178,27,50,-12.7359985138731,-15.5842347753654,5,1
37,-14.0573454822568,-15.8623582887219,25,49,-12.094770037078,-15.4516093087792,5,1
38,-15.1654719044265,-15.7405982517403,28,51,-13.1646270703626,-14.8291616641836,5,1
39,-14.6527149642352,-15.1308994200146,27,48,-11.3619159888315,-14.3155545003844,5,1
40,-14.3448662763655,-14.34706326214,28,47,-10.8114423014945,-13.319062872454,5,1
41,-14.0351546565031,-13.6394995904805,27,46,-10.3761856803464,-12.821745803814,5,1
42,-13.4438081016356,-12.9888631429669,27,46,-10.4662255941728,-12.3048694002072,5,1
43,-11.4450220037775,-11.6775630964362,23,47,-10.4905021633553,-11.1063144920159,5,1
44,-11.9936067170218,-12.0650377740443,25,43,-9.47204470440515,-9.94053791028236,5,1
45,-12.028729930336,-11.7547927529795,23,42,-9.27975128105617,-9.91394218555897,5,1
46,-12.0123289393634,-11.4400071584516,25,41,-8.16500630483339,-9.04393442949575,5,1
47,-11.836172121595,-10.5448951993545,23,41,-8.82997069889744,-8.83683835928548,5,1
48,-11.722438511311,-9.88719551847805,24,41,-9.08711965283731,-7.98347802163373,5,1
49,-11.4818067949669,-9.24493025019537,23,41,-9.17479261853935,-7.64029220620435,5,1
50,-11.5110275995172,-8.82491964513057,21,40,-8.82900824647433,-7.46931551708042,5,1
51,-11.3652234339667,-8.048434707535,21,40,-9.24553386702949,-6.76579588848937,5,1
52,-11.4412635968507,-7.67214446804453,20,42,-10.3733773490515,-6.65063943171007,5,1
53,-11.4630722644279,-7.60049433594353,21,41,-10.2486635180524,-6.11123473229517,5,0
54,-11.5671140844685,-7.48396325134776,20,40,-10.4133609475713,-6.00862843787774,5,0
55,-11.524145331101,-7.4984072822994,17,39,-10.1814632389416,-6.28549821741435,5,0
56,-11.4450297619655,-7.23077850042823,15,38,-10.1727491034942,-6.29121425729908,5,0
57,-11.3886523676396,-7.07298769120072,20,38,-10.2723666757729,-4.94112989779489,5,0
58,-11.3828943605397,-6.72856838028304,18,38,-10.4293858229088,-4.96947234039464,5,0
59,-11.9127745123754,-6.96578778712323,11,35,-11.3817910516587,-5.83328907228301,5,0
60,-12.1946750502624,-8.13339707980338,1,33,-11.9714525564377,-6.27995637289754,5,0
61,-12.7050675204119,-6.90557914816731,1,34,-12.4989883016864,-7.5218027512401,5,0
62,-12.9525159237264,-5.66896050687359,1,34,-12.7199954749681,-5.71899440347642,5,0
63,-13.1899015445016,-4.22082250484099,1,36,-12.7152617147337,-7.8626319130945,5,0
64,-13.1122532617428,-3.29273212786776,1,37,-12.7173769441742,-6.14738359298657,5,0
65,-12.9774463258183,-2.71774051416678,1,38,-12.7167804614795,-6.88942964136664,5,0
66,-12.8023875494077,-2.1215571703162,2,38,-12.6850688539424,-4.09408329041093,5,0
67,-12.7614132561927,-1.52410893345507,6,39,-12.7252497597756,-0.540065794969641,5,0
68,-15.8346039621758,-16.9464104627678,28,51,-13.1327914338553,-16.2585076640883,6,1
69,-15.9207778282045,-16.9621178134212,28,50,-12.2278389679067,-16.2503851215674,6,1
70,-16.0494872334614,-16.7701413860725,28,50,-12.2567017628164,-15.9587309092886,6,1
71,-15.7557121516178,-16.4584088950509,28,49,-11.6210952202183,-15.6351230286144,6,1
72,-15.0497515353047,-15.6846365013982,28,51,-12.7018096314942,-14.5871152730902,6,1
73,-14.5105338440065,-15.0210345326673,28,48,-11.1410355223487,-13.6688090760093,6,1
74,-14.099130296241,-14.1986432332042,28,48,-11.0158014757918,-12.7155854893079,6,1
75,-14.0291504613691,-13.5071205295678,27,45,-9.94275054438678,-12.7124647532247,6,1
76,-13.7080179451122,-12.8940828738016,28,48,-11.2179855294976,-11.7653067160694,6,1
77,-12.6503399359598,-11.281944124116,25,41,-8.09568339463814,-9.25898048224017,6,1
78,-12.9872930963053,-11.0190580632926,28,41,-8.38581081942393,-7.99391697249638,6,1
79,-12.8354703333885,-10.8185151779778,26,41,-8.63997432614275,-8.02795590971493,6,1
80,-12.6447769996249,-10.3547592615195,26,39,-7.5639593771954,-7.91605130734991,6,1
81,-12.5241667083738,-9.88883303160137,26,39,-7.72690430283284,-7.52490916418505,6,1
82,-12.3418448267782,-9.42354062235816,27,40,-8.44797511620087,-6.93052125018,6,1
83,-12.0752246003572,-8.80613477722125,25,40,-8.70816221750908,-6.84051571078485,6,1
84,-11.9876888968995,-8.42291528325562,25,39,-8.16661013432364,-6.57060076271632,6,1
85,-11.7668614827522,-7.65023578834925,24,38,-7.79870176832959,-6.31456330679567,6,1
86,-11.8844654875161,-7.06625470793057,24,42,-9.91481953023463,-5.97037535734668,6,1
87,-11.9393839584335,-6.84490949702187,22,40,-9.55005261730145,-5.78299308645125,6,0
88,-11.8900860991924,-6.73019333353404,21,41,-10.2945972792099,-5.3002626815722,6,0
89,-11.759687518848,-6.57029201710785,19,39,-9.88776697497353,-5.08382699830965,6,0
90,-11.4930462525642,-6.4028091862243,17,39,-10.147358726902,-5.32255877690281,6,0
91,-11.4177740238986,-6.10123986644703,16,39,-10.7903117177998,-5.13909027769032,6,0
92,-11.6332579319107,-6.27805483783556,16,39,-11.1393730837326,-4.97059412646069,6,0
93,-12.3505802186526,-6.77175529077724,13,35,-11.4580707128279,-4.80052530944206,6,0
94,-12.4982271074028,-7.01400483435194,9,32,-12.3664984965835,-5.72063918263827,6,0
95,-12.7368008156906,-6.20317335931474,3,33,-12.6652258188854,-4.79451043229258,6,0
96,-13.0918117911711,-5.20617885136245,1,34,-12.8566957185037,-6.73683205744132,6,0
97,-13.2542796896572,-3.90760845932046,1,37,-12.8356231410371,-5.96975525833702,6,0
98,-13.1883633551729,-3.13329261683609,2,37,-12.8988882380558,-4.20918058474546,6,0
99,-13.0683919793517,-2.47739029166762,1,37,-12.8889336337499,-5.5256584239009,6,0
100,-12.9282375542089,-1.89913761730982,2,39,-12.8048720210236,-3.47507434196434,6,0
101,-12.8975738216704,-1.08875922678704,10,38,-12.8975738216704,-1.08875922678704,6,0
102,-13.6326163974057,-15.8222162363048,27,52,-13.0000867344798,-14.6854760950244,7,1
103,-14.1112573085961,-15.9935546557122,27,50,-11.7162471246774,-14.5453055204822,7,1
104,-13.8728130541883,-15.7595096351056,27,49,-10.9201558958126,-14.3138088284396,7,1
105,-13.6968213575706,-15.3970108489477,28,52,-12.6275452242547,-13.3351459257825,7,1
106,-13.0656963689752,-14.872699048856,27,51,-11.6807881485428,-14.3345688134489,7,1
107,-13.1509720793518,-14.1969179007124,27,50,-11.7001966419399,-12.6329037705114,7,1
108,-12.6568623849627,-13.5970663519527,27,49,-11.1100288480916,-12.6356846160297,7,1
109,-12.5054099598447,-12.8228837444026,27,46,-9.77293227310292,-11.8110462728558,7,1
110,-12.2042121940803,-12.3656477742803,27,46,-10.0031100627071,-11.1716415492703,7,1
111,-12.1709036372262,-11.56895378568,27,45,-9.61242385514153,-10.0988712488489,7,1
112,-12.3296269096646,-12.0420849049976,26,42,-8.40549641074229,-9.61755576074858,7,1
113,-12.3087688498259,-11.8622545933929,26,43,-9.1530998020992,-8.93513163286155,7,1
114,-12.1369190848418,-11.6461040138019,26,40,-7.67009058426435,-8.66953260080223,7,1
115,-11.9315017053775,-10.9262713594217,25,39,-7.25513657380441,-8.37030268178352,7,1
116,-11.8484668148604,-10.427459273225,24,39,-7.37790924848567,-7.97513632516719,7,1
117,-11.7892193138509,-9.78355655263195,25,39,-7.5071997576911,-7.3108048348623,7,1
118,-11.2272376537748,-9.36161736205649,26,39,-7.60973482981808,-6.81175943233966,7,1
119,-10.8777000229833,-8.47557254942534,21,39,-8.31488304511968,-6.74842134685483,7,1
120,-11.2704314956121,-7.79905708529832,22,41,-9.38609745009524,-6.34603588512314,7,1
121,-11.5930457751258,-7.4890441682188,21,41,-9.63781332585518,-6.32577816328114,7,1
122,-11.7883653261611,-7.3876338782075,21,39,-9.25877224151799,-5.76033411480272,7,0
123,-11.898981991325,-7.38007819450473,21,39,-9.72093734774174,-5.28925904786505,7,0
124,-12.0320155058714,-7.10658707905859,20,39,-10.0066313706283,-5.15442037974416,7,0
125,-11.9866316202634,-6.95482043995856,20,39,-10.0004271353324,-5.12183159461116,7,0
126,-11.9502326366157,-6.74643081081952,21,38,-10.4790303698876,-4.5284788825814,7,0
127,-12.3931378207867,-6.69784071919828,14,35,-10.9266393467104,-4.74609635990948,7,0
128,-12.4937938211881,-7.82329466298859,12,33,-12.1780941884325,-5.25689940619315,7,0
129,-12.93478384121,-6.74139080661702,1,33,-12.7968865474886,-7.53846626794212,7,0
130,-13.3082944486991,-5.71883997047285,1,34,-13.0136320182978,-7.5764676546494,7,0
131,-13.4691331821945,-4.22878477376274,1,36,-13.0975205641936,-8.0441252356997,7,0
132,-13.4019144807824,-3.38433977421166,1,37,-13.0519758941989,-7.73571660254786,7,0
133,-13.219570039966,-2.76157177682645,2,38,-13.0316172238113,-4.57253222791126,7,0
134,-13.0794379294936,-2.1669367535087,2,38,-13.0034154143909,-4.32319272118705,7,0
135,-13.0359246604829,-1.54840470391918,7,39,-13.0349036084811,-1.09657494597849,7,0
136,-14.4996097983895,-13.8534259988541,28,42,-6.56122349729483,-11.8334529756055,8,1
137,-14.461160712849,-13.8418701239547,27,41,-5.93887244189562,-12.131746331875,8,1
138,-14.2624159405484,-13.7496635039456,28,41,-6.08375859963272,-11.6637736343905,8,1
139,-13.9382190251648,-13.6240137699836,27,42,-6.89959857078346,-11.8705343504153,8,1
140,-13.2218732517944,-13.0333244414169,26,41,-6.83912920966563,-11.5359076252298,8,1
141,-12.9432190464988,-12.4953107662473,26,42,-7.7835431427412,-11.1050480873069,8,1
142,-12.7849003143239,-11.702078646348,26,41,-7.52233207651304,-10.6715112281153,8,1
143,-12.4976560140915,-11.2478264416935,26,43,-8.68746942671202,-10.3090980804465,8,1
144,-12.3801613528497,-10.6520145773914,27,47,-10.3043123476496,-9.7193406188791,8,1
145,-12.2134775546149,-11.5151821057194,24,40,-7.36863937680805,-9.23335239107359,8,1
146,-12.5867011080928,-11.347277379223,24,39,-7.11472315577476,-8.72930122472721,8,1
147,-12.5290085309127,-11.2185419836855,27,40,-7.83113401165826,-8.16986026420259,8,1
148,-12.3686039515282,-10.7656259097235,26,39,-7.35870468032605,-7.91177985112549,8,1
149,-12.0341635093237,-10.354032235764,24,39,-7.36311787255472,-7.84015086503265,8,1
150,-11.990730272927,-9.84795162129363,26,40,-8.21730611692642,-7.3126718874137,8,1
151,-11.7879914902919,-9.39688510679212,25,39,-7.84093615500378,-6.90845221906894,8,1
152,-11.7371816557551,-9.14282792806804,25,40,-8.31833933593656,-6.71996677915263,8,1
153,-11.5246727831537,-8.48956076376258,23,40,-8.66140543712826,-6.29364750418268,8,1
154,-11.501049517975,-7.9514373306738,21,40,-8.90112527826108,-6.31353272785002,8,1
155,-11.7348936669506,-7.17618471372319,23,43,-10.7097750221228,-5.74939289128828,8,1
156,-11.7737216534298,-6.96515117835672,21,41,-10.1935838690025,-5.55977953610534,8,0
157,-11.6436055064538,-6.7790705050588,20,40,-10.183407967537,-5.30307908861633,8,0
158,-11.5216417104075,-6.58618436281986,17,40,-10.4858817728718,-5.60572361493256,8,0
159,-11.4098481983415,-6.36092300807191,17,40,-11.0020338333968,-5.38751972685152,8,0
160,-11.7309319592834,-6.2525923508239,15,38,-10.3659791160737,-5.60902809259643,8,0
161,-12.1677758297644,-6.55800286254866,14,36,-11.6808955536409,-5.05855846724798,8,0
162,-12.4770503857249,-7.3860560646622,10,33,-12.3006214324677,-5.40355323577943,8,0
163,-12.9129107613444,-6.20231479818305,1,34,-12.7388216924751,-8.12224159122513,8,0
164,-13.2898516302799,-5.06808944406008,1,35,-12.9284900109996,-5.92840544981279,8,0
165,-13.3403672776705,-3.91256941459834,1,37,-12.8411964774061,-7.56180480585897,8,0
166,-13.2376094214732,-3.12314133053742,2,38,-12.8258268801087,-4.14265076875163,8,0
167,-13.0490185955824,-2.57448911134021,2,39,-12.7931478338051,-3.44510255188601,8,0
168,-12.906419264974,-1.88831768865118,3,39,-12.8091062202362,1.05598001146767,8,0
169,-12.8531269886794,-1.24985740315413,11,39,-12.8531269886794,-1.24985740315413,8,0
170,-15.6564146437574,-16.39419471829,28,49,-11.4786770189313,-15.5906260182678,9,1
171,-15.4442444480995,-16.4939121444496,28,51,-12.8972916545386,-15.6256142686221,9,1
172,-15.492526621483,-16.2961195837132,28,44,-8.36443529486344,-15.4777661729404,9,1
173,-15.1348419675189,-16.1724815291995,28,51,-12.6843962792853,-15.1428422163029,9,1
174,-14.556257109918,-15.4865355677081,28,54,-14.1108628326241,-14.606077738095,9,1
175,-14.2612277365896,-14.8781608967835,28,51,-12.4684397896501,-14.0523583716817,9,1
176,-13.7581629115044,-14.0177970568885,27,49,-11.2559357832712,-13.26244634845,9,1
177,-13.6393204610852,-13.3496149068669,27,47,-10.615355804124,-12.776834437959,9,1
178,-13.2599491292466,-12.8260579387843,28,46,-10.3322998830701,-11.8960284723139,9,1
179,-11.704654372835,-11.5763989466006,24,46,-9.76652196622053,-10.7567028340776,9,1
180,-12.2322449131343,-12.1126027614318,27,40,-7.52953476968266,-8.81239306697329,9,1
181,-12.0715225852159,-11.9849645558384,25,41,-8.16734839572536,-9.37071564004936,9,1
182,-12.0078278789953,-11.6586601352265,25,40,-7.91736703595531,-8.91289265982814,9,1
183,-11.7080554083274,-11.1362237865194,24,40,-8.05227333643012,-8.58770892675003,9,1
184,-11.813154664655,-10.5773247814129,27,39,-7.5502896873042,-7.14481645861576,9,1
185,-11.7100825183387,-9.99204321153951,24,40,-8.28780631700925,-7.39673859038677,9,1
186,-11.1683495246343,-9.52204143231999,23,38,-7.15328283131183,-7.07398580760002,9,1
187,-10.8581360965887,-8.708246098674,21,38,-7.80023544188594,-6.60015266842253,9,1
188,-11.1227797029371,-8.35517785039124,24,38,-7.99267376804183,-6.28683967039235,9,1
189,-11.6577382197454,-7.72879236285317,21,40,-9.35817194796711,-6.0618492177667,9,1
190,-11.8747883673665,-7.42832085503294,22,39,-9.49565615778167,-5.64479386921796,9,1
191,-11.9463019735291,-7.34225701100296,20,39,-9.72674087457649,-5.64524347906829,9,0
192,-12.0355341171427,-6.97646220508192,21,39,-9.8864994898852,-5.0799173986494,9,0
193,-12.1004454810854,-6.77876569018889,21,38,-9.30297270119925,-4.8733471276589,9,0
194,-12.0109843185532,-6.32202605317227,19,38,-10.6627426433435,-4.87369106985893,9,0
195,-12.4323060258012,-6.64572973135553,15,33,-9.47862037288804,-4.33030672904145,9,0
196,-12.5713098431048,-7.53370951679383,10,31,-12.1135754071105,-4.88850238727823,9,0
197,-12.8107998821884,-6.70378350029861,1,34,-12.662090493469,-7.30995549984538,9,0
198,-13.4030087816812,-5.49412361654282,1,33,-12.9753387175455,-7.29604008391372,9,0
199,-13.5775539860042,-4.10194990202356,1,36,-13.0955754549306,-7.29692775702666,9,0
200,-13.5017412148712,-3.32466480004783,2,39,-12.7833003838051,-4.44100130867008,9,0
201,-13.3463451597581,-2.72311518936331,1,37,-12.9264166735298,-7.72473020494092,9,0
202,-13.2860042136729,-2.15869269319551,3,39,-12.7811735881865,1.0761893255276,9,0
203,-13.2266713113726,-1.43322712187239,2,37,-12.9845864689545,-3.95332450362774,9,0
204,-15.2837813973317,-16.1089564321327,28,53,-14.2213323089642,-15.4431462206647,10,1
205,-15.572720129842,-16.1050786237123,28,52,-13.315861448487,-15.0610236867996,10,1
206,-14.9841700411312,-15.9681116068511,27,51,-12.7018598934898,-15.0913838227392,10,1
207,-14.6796415412634,-15.6422869503491,27,51,-12.7381352409845,-14.8161215671335,10,1
208,-14.0836304000661,-15.2699582259449,27,52,-13.025149977342,-14.50796995536,10,1
209,-11.744667800194,-12.4950186731903,27,42,-7.09256028299888,-10.8851276376345,10,1
210,-11.6557843169395,-11.7804519109345,27,43,-7.58428442878834,-10.4807713495894,10,1
211,-11.3654849385855,-11.2716627736775,27,42,-7.72091347548975,-9.89373795955228,10,1
212,-11.3357209133046,-10.7301054489468,28,42,-8.10968328911529,-9.39017400542121,10,1
213,-11.7607858367537,-11.3954558097338,26,41,-7.54883643095917,-9.07818101796743,10,1
214,-11.2106001065249,-11.3674735692353,25,41,-7.85518161384716,-8.62876909893085,10,1
215,-11.3193565191473,-11.2037314823934,24,40,-7.54488561488826,-8.7270857939456,10,1
216,-11.3022983159584,-10.8579088863323,22,40,-7.74564190272176,-8.73047851919222,10,1
217,-11.3631953092838,-10.3895445586647,23,39,-7.25227163654339,-8.09280010958857,10,1
218,-11.3714746011304,-9.95607873033381,22,40,-7.97160634782305,-7.80620080474922,10,1
219,-11.3184341502278,-9.39787930577134,23,39,-7.30710786353024,-7.20297062140684,10,1
220,-11.2073546672698,-9.25106719993303,24,39,-7.46822763182205,-6.7794171974685,10,1
221,-11.12753270303,-8.59212482684391,22,38,-7.27768398373217,-6.54188961139933,10,1
222,-11.1758256653145,-8.24518500972303,20,37,-6.87557789259296,-6.62867278786009,10,1
223,-11.4371410294817,-7.44830271978834,20,41,-9.4422153316676,-6.21835491366714,10,1
224,-11.6537968199561,-7.03443311476688,20,41,-9.82172230659667,-5.76794037885441,10,1
225,-11.6077791836737,-6.81533052222235,19,40,-9.70440429703145,-5.52433573922639,10,0
226,-11.4605626142199,-6.52695462249262,18,40,-10.140832236197,-5.47593778370882,10,0
227,-11.5299547939518,-6.30549178290638,17,39,-10.0115162102191,-5.44078708744945,10,0
228,-11.7669060322108,-6.27097118716566,21,40,-10.6877249199688,-4.47629497086719,10,0
229,-12.2119869999382,-6.57107365069933,16,37,-11.3373354467161,-4.77461106179493,10,0
230,-12.6019825018286,-7.38348278978668,1,34,-12.2433558925062,-8.67712487400442,10,0
231,-13.1164373062555,-6.52355613005995,1,34,-12.7445365336744,-8.73634434052802,10,0
232,-13.3480682243665,-5.44157929913125,1,35,-12.9075182548114,-9.1354918531886,10,0
233,-13.446085832214,-4.213272356606,1,37,-12.8584556081757,-9.22362673172445,10,0
234,-13.2473483821278,-3.38015177290135,1,40,-12.8096874861726,-9.13628812844207,10,0
235,-13.0812715563728,-2.68184110795716,2,40,-12.8786024783337,-8.25175172263513,10,0
